Property Name,Address,Year Ending,Property GFA - Self-Reported (ft²),Year Built,Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Fuel Oil #2 Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Direct GHG Emissions (Metric Tons CO2e)
Providence Police Academy,"200 Chad Brown Street Providence, RI 02908",06/30/2012 12:00:00 AM,20175,1928,26179,0,1103172,,59.1,1192494.7,81.9
Branch Avenue Fire Station,"10 Branch Avenue Providence, RI 02904",06/30/2017 12:00:00 AM,14616,1948,84728.6,5131.84,,,61.9,904398.3,34.8
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2015 12:00:00 AM,71724,1959,297908.4,36226.76,0,73,64.7,4639139.9,192.4
Frank D. Spaziano Elementary School,"85 Laurel Hill Ave, Providence, RI 02909",06/30/2014 12:00:00 AM,58015,1908,117377.6,2444.29,2990460.1,80,62.7,3635381.2,234.9
Dalrymple Boat House,"1000 Elmwood Ave, Providence, RI 02907",06/30/2010 12:00:00 AM,17474,1894,64006.4,0,410688,,36,629077.7,30.5
West End Recreation Center,"109 Bucklin St, Providence, RI 02907",06/30/2010 12:00:00 AM,25760,1997,195838.6,7021.82,0,,53.2,1370383.7,37.3
Mount Pleasant High School,"434 Mt Pleasant Ave, Providence, RI 02908",06/30/2012 12:00:00 AM,320000,1938,975450.9,159453.09,0,94,60.2,19273548.4,846.9
Leviton Dual Language School,"65 Greenwich St, Providence, RI 02907",06/30/2010 12:00:00 AM,40000,2002,264111,9935.97,0,90,47.4,1894743.7,52.8
Anthony Carnevale Elementary School,"50 Springfield St, Providence, RI 02909",06/30/2016 12:00:00 AM,78000,1999,570074.9,12945.86,,76,41.5,3239681.6,68.8
City Hall,"25 Dorrance St, Providence, RI 02903",06/30/2012 12:00:00 AM,99675,1878,701222.9,34367.57,0,90,58.5,5829330,182.5
B. Jae Clanton Complex,"674 Prairie Avenue
Providence, RI, 02905",06/30/2016 12:00:00 AM,103000,2004,545910.5,21999.48,,93,39.4,4062595.4,116.8
Central Supply,"304 Pearl Street Providence, Rhode Island 02903",06/30/2015 12:00:00 AM,15525,2004,93174.2,8068.41,0,16,72.4,1124750.9,42.9
DPW Administration Building,"700 Allens Avenue Providence, Rhode Island 02905",06/30/2015 12:00:00 AM,20511,1925,52105,16890,0,72,91,1866782.2,89.7
DPW Administration Building,"700 Allens Avenue Providence, Rhode Island 02905",06/30/2014 12:00:00 AM,20511,1925,58892.3,17132,0,69,93.3,1914140.7,91
DelSesto Middle School,"152 Springfield St, Providence, RI 02909",06/30/2015 12:00:00 AM,146000,1998,860887.4,49944.62,0,64,54.3,7931810.1,265.3
Esek Hopkins Middle School,"480 Charles St, Providence, RI 02904",06/30/2014 12:00:00 AM,87560,1916,304420.6,38684.49,0,69,56,4907132.5,205.5
Gilbert Stuart Middle school,"188 Princeton Ave, Providence, RI 02907",06/30/2012 12:00:00 AM,154450,1929,357932.7,5713.86,6941814.3,59,56.6,8734466.3,545.5
DPW Administration Building,"700 Allens Avenue Providence, Rhode Island 02905",06/30/2010 12:00:00 AM,20511,1925,71994.8,,0,94,41.5,850646.3,32.1
Rochambeau Avenue Fire Station,"270 Rochambeau Avenue Providence, RI 02906",06/30/2010 12:00:00 AM,7400,1928,43145.6,7282,0,,118.3,875412.9,38.7
Asa Messer Elementary School @ Samuel W. Bridgham,"1655 Westminster Street Providence, RI, 02909",06/30/2012 12:00:00 AM,109255,1972,602979.3,43480.32,0,54,58.6,6405397.8,230.9
Anthony Carnevale Elementary School,"50 Springfield St, Providence, RI 02909",06/30/2017 12:00:00 AM,78000,1999,535674.9,18125.95,,75,46.7,3640318.3,96.3
"DPW Maintenance, Traffic and Roller Shed","20 Ernest Street Providence, Rhode Island 02905",06/30/2012 12:00:00 AM,117618,1930,250664.7,42385.75,0,,43.3,5093843.2,225.1
West Broadway,"29 Brainbridge Avenue Providence, Rhode Island 02909",06/30/2014 12:00:00 AM,46000,1966,75691.3,0,4395299.9,46,101.2,4653558.7,326.2
Davey Lopes Recreation Center,"227 Dudley St, Providence, RI 02907",06/30/2015 12:00:00 AM,11860,1948,74148.6,13059.19,0,,131.4,1558914.3,69.4
Dr. Robert F. Roberti Administration Building,"797 Westminster St., Providence, RI 02903",06/30/2013 12:00:00 AM,56744,1945,915496.5,30581.13,0,63,108.9,6181787.2,162.4
B. Jae Clanton Complex,"674 Prairie Avenue
Providence, RI, 02905",06/30/2011 12:00:00 AM,103000,2004,631851.3,42362.95,0,77,62.1,6392171.6,225
Messer Street Fire Station,"201 Messer Street Providence, RI 02909",06/30/2015 12:00:00 AM,9150,1948,68864.8,499.34,380328,,72.7,665228.4,30.9
Admiral Street Fire Station,"426 Admiral Street Providence, RI 02908",06/30/2013 12:00:00 AM,12850,1924,71404.4,8158.48,105294,,90.6,1164774.2,51.1
Anthony Carnevale Elementary School,"50 Springfield St, Providence, RI 02909",06/30/2015 12:00:00 AM,78000,1999,572132.7,18638.74,0,70,48.9,3815990.9,99
West Broadway,"29 Brainbridge Avenue Providence, Rhode Island 02909",06/30/2010 12:00:00 AM,46000,1966,108092.6,0,4016628.3,45,95.3,4385440.3,298.1
Mount Pleasant High School,"434 Mt Pleasant Ave, Providence, RI 02908",06/30/2014 12:00:00 AM,320000,1938,976138.6,199858.49,0,89,72.9,23316434.1,1061.5
DelSesto Middle School,"152 Springfield St, Providence, RI 02909",06/30/2010 12:00:00 AM,146000,1998,987199.9,44920.96,0,57,53.8,7860422.5,238.6
Carl G. Lauro Elementary School,"99 Kenyon St, Providence, RI 02903",06/30/2014 12:00:00 AM,117482,1921,203048.1,89075.29,0,41,81.7,9600329.3,473.1
Davey Lopes Recreation Center,"227 Dudley St, Providence, RI 02907",06/30/2011 12:00:00 AM,11860,1948,86504.8,14598.96,0,,148,1755050.8,77.5
Peter A. Rochio Substation,"1266 Chalkstone Ave, Providence, RI 02908",06/30/2013 12:00:00 AM,914,2006,20915,0,0,,78.1,71361.8,0
Roger Williams Park Zoo,"1000 Elmwood Avenue Providence, Rhode Island 02907",06/30/2017 12:00:00 AM,136659,1872,2737797.6,79304.25,,,126.4,17271791.2,421.2
Humboldt Avenue Fire Station,"155 Humboldt Avenue Providence, RI 02906",06/30/2014 12:00:00 AM,7460,1905,38744.8,0,761622,,119.8,893819.1,56.5
Steven M. Shaw District 5 Substation,"204 Magnolia St, Providence, RI 02909",06/30/2011 12:00:00 AM,546,1996,10059.8,486,0,,151.9,82923.9,2.6
Lillian Feinstein Elementary School @ Sackett Street,"159 Sackett St, Providence, RI 02907",06/30/2014 12:00:00 AM,68400,1921,262428.5,16633.13,1872246.1,77,64.8,4430964.9,227.3
Reservoir Avenue Elementary School,"156 Reservoir Ave, Providence, RI 02907",06/30/2016 12:00:00 AM,22000,1924,94903.9,11560.55,,47,67.3,1479866.9,61.4
DelSesto Middle School,"152 Springfield St, Providence, RI 02909",06/30/2016 12:00:00 AM,146000,1998,859199.9,46463.71,,66,51.9,7577961,246.8
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2015 12:00:00 AM,4186,2001,43590.8,0,308016,,109.1,456747.7,22.9
Harry Kizirian Elementary School,"60 Camden Ave, Providence, RI 02908",06/30/2017 12:00:00 AM,73950,1959,273200,35661.57,,64,60.8,4498315.2,189.4
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2013 12:00:00 AM,4186,2001,40459.4,0,174570,,74.7,312617.3,13
Central-Classical High Schools,"770 Westminster St, Providence, RI 02903",06/30/2015 12:00:00 AM,454059,1962,2181473.9,176033.45,0,93,55.2,25046534.4,935
Veazie Street Elementary School,"211 Veazie St, Providence, RI 02904",06/30/2010 12:00:00 AM,110000,1909,395111.6,77244.52,0,22,81.7,9072572.8,410.3
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2015 12:00:00 AM,135228,1929,375653.3,121771.79,0,18,99.5,13458908.3,646.8
B. Jae Clanton Complex,"674 Prairie Avenue
Providence, RI, 02905",06/30/2017 12:00:00 AM,103000,2004,492474.8,25767.99,,94,41.3,4257123.5,136.9
Peter A. Rochio Substation,"1266 Chalkstone Ave, Providence, RI 02908",06/30/2017 12:00:00 AM,914,2006,25320.8,,,,94.5,86394.5,0
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2015 12:00:00 AM,9350,2000,74284.9,11211.1,0,,147,1374570.4,59.5
Department of Communications,"215 West Exchange Street Providence, Rhode Island 02903",06/30/2012 12:00:00 AM,11752,1987,279223.5,5302.09,0,,126.2,1482919.1,28.2
Providence Career and Technical Academy,"41 Fricker St, Providence, RI 02903",06/30/2012 12:00:00 AM,300000,2009,1787963.3,48963.4,0,,36.7,10996871.8,260.1
Davey Lopes Recreation Center,"227 Dudley St, Providence, RI 02907",06/30/2012 12:00:00 AM,11860,1948,83089.4,11925.83,0,,124.5,1476084.5,63.3
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2015 12:00:00 AM,17000,1905,117951,23.56,1368132,,104.3,1772936.8,101.7
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2015 12:00:00 AM,18111,1997,30005,9526,0,,58.3,1054977.1,50.6
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2013 12:00:00 AM,17000,1905,153431.4,9.98,1356816,,110.7,1881322.1,100.7
