facility,month,total_energy_use_kbtu,electricity_use_kwh,natural_gas_use_mcf,steam_use_k_lbs,water_use_k_gals,wastewater_use_k_gals,total_energy_cost,electricity_cost,natural_gas_cost,steam_cost,water_cost,wastewater_cost,total_utility_cost,total_emissions_tons_co_2,electricity_tons_co_2,natural_gas_tons_co_2,steam_tons_co_2,heating_degree_days,cooling_degree_days,uses_electricity_for_summer_cooling,uses_natural_gas_for_winter_heating,uses_steam_for_winter_heating,wnu_all_energy,wnu_gas,wnu_electricity,wnu_steam
Boyce Park Maint Center,2022-04-01,172988.9893636,638.313978487691,166.158620689689,0,15.9226,0,1258.65,106.88,1151.77,0,195.23,0,1453.88,10.2654680625432,0.273020931506712,9.9924471310365,0,484,14,Yes,Yes,,182256.18077175,175.216156401303,673.805331813104,0
Boyce Park Maint Center,2022-06-01,7616.0665277,671.78341014068,5.1789314516537,0,17.578,0,212.6,104.23,108.37,0,212.64,0,425.24,0.598787123391742,0.287336543752192,0.31145057963955,0,15,156,Yes,Yes,,10275.8463691787,9.11439714051692,2048.3236325756,0
Kane/McKeesport,2016-03-01,1701905.6541411,194601.122257063,1009.65625,0,353.6631,353.6631,21023.12,15753.64,5269.48,0,2649.22,5120.7,28793.04,143.953888776536,83.2351812140356,60.7187075625,0,512,1,Yes,Yes,,1957202.16977683,1167.81042449875,221774.048473657,0
Kane/McKeesport,2016-05-01,1365011.8354107,250914.334821424,495.03125,0,378.4979,378.4979,23171.74,20217.77,2953.97,0,2275.01,3460.89,28907.64,137.091770430989,107.321581118489,29.7701893125,0,175,65,Yes,Yes,,3176782.11579379,1188.7195719401,572912.77720966,0
Kane/McKeesport,2016-07-01,1290530.2153042,318982.294930891,196.65625,0,218.4118,218.4118,27131.25,25244.41,1886.84,0,1359.35,2859.41,31350.01,148.262258714931,136.435745152431,11.8265135625,0,0,330,Yes,Yes,,2059745.81945925,320.807922979798,507020.889400943,0
Kane/McKeesport,2017-02-01,1633298.2628857,159927.978571424,1058,0,275.581,275.581,21152.05,13774.86,7377.19,0,1665.36,3816.87,26634.28,132.030718850527,68.4047148505268,63.626004,0,665,1,Yes,Yes,,1314774.82127484,842.142582582583,131609.68533996,0
Kane/McKeesport,2019-02-01,1896834.7080978,156267.154022978,1326.5089285714,0,379.3839,17672.448,23618.73,13426.92,10191.81,0,2783.99,5123.09,31525.81,146.612493599443,66.8388996530161,79.7735939464269,0,862,0,Yes,Yes,,1187078.41095786,810.546638986203,103703.536365781,0
Kane/McKeesport,2019-09-01,1138451.7142753,260389.433333353,243.193548387062,0,366.2917,36492.6218,22990.25,20886.57,2103.68,0,3014.87,4739.7,30744.82,125.99946281711,111.374289204208,14.6251736129012,0,6,132,Yes,Yes,,4036028.44512296,904.014112903097,910522.255878834,0
Boyce Park Res 3-1,2015-05-01,0,0,0,0,2.2888,0,0,0,0,0,22.81,0,22.81,0,0,0,0,89,131,,,,0,0,0,0
Boyce Park Res 3-1,2015-07-01,0,0,0,0,3.1163,0,0,0,0,0,25.65,0,25.65,0,0,0,0,0,262,,,,0,0,0,0
Boyce Park Res 3-1,2016-02-01,0,0,0,0,2.8736,0,0,0,0,0,23.99,0,23.99,0,0,0,0,891,0,,,,0,0,0,0
Boyce Park Res 3-1,2016-03-01,0,0,0,0,4.9181,0,0,0,0,0,41.93,0,41.93,0,0,0,0,512,1,,,,0,0,0,0
Boyce Park Res 3-1,2016-05-01,0,0,0,0,2.8063,2.8063,0,0,0,0,7.28,18.07,25.35,0,0,0,0,175,65,,,,0,0,0,0
Boyce Park Res 3-1,2016-07-01,0,0,0,0,3.6269,3.6269,0,0,0,0,26.88,30.94,57.82,0,0,0,0,0,330,,,,0,0,0,0
Boyce Park Res 3-1,2017-02-01,0,0,0,0,2.5025,2.5025,0,0,0,0,23.6,17.44,41.04,0,0,0,0,665,1,,,,0,0,0,0
Boyce Park Res 3-1,2017-09-01,0,0,0,0,2.8377,2.8377,0,0,0,0,24.82,17.28,42.1,0,0,0,0,67,119,,,,0,0,0,0
